seller_id,seller_name,seller_type,seller_city,seller_state,seller_country,join_date,rating,batch_date
1,Webster and Sons Trading,Business,Davao City,Davao del Sur,Philippines,2022-03-17,4.5,full_load
2,Green Store,Individual,Las Piñas,Metro Manila,Philippines,2024-02-21,4.24,full_load
3,Gentry Store,Individual,Cagayan de Oro,Misamis Oriental,Philippines,2023-06-08,4.56,full_load
4,Durham Store,Individual,Manila,Metro Manila,Philippines,2024-06-29,4.91,full_load
5,Curry Store,Individual,Taguig,Metro Manila,Philippines,2023-09-15,4.21,full_load
6,Erickson Store,Individual,Cebu City,Cebu,Philippines,2023-01-30,4.21,full_load
7,"Daniels, Hernandez and Hahn Trading",Business,Iloilo City,Iloilo,Philippines,2022-06-20,4.93,full_load
8,"Saunders, Hoffman and Baker Trading",Business,Muntinlupa,Metro Manila,Philippines,2022-07-13,4.61,full_load
9,Jones-Robinson Trading,Business,Quezon City,Metro Manila,Philippines,2023-11-08,4.11,full_load
10,Ray-May Trading,Business,Bacolod,Negros Occidental,Philippines,2021-03-26,4.52,full_load
11,Reese Store,Individual,Bacolod,Negros Occidental,Philippines,2022-09-29,4.11,full_load
12,Burke Store,Individual,Parañaque,Metro Manila,Philippines,2025-07-31,4.11,full_load
13,Williams Store,Individual,Las Piñas,Metro Manila,Philippines,2025-11-19,4.4,full_load
14,Johnson Inc Trading,Business,Baguio,Benguet,Philippines,2022-05-03,3.53,full_load
15,Diaz Store,Individual,Manila,Metro Manila,Philippines,2022-04-17,3.61,full_load
16,Leonard-Schroeder Trading,Business,Manila,Metro Manila,Philippines,2024-03-02,4.08,full_load
17,Jones PLC Trading,Business,Parañaque,Metro Manila,Philippines,2021-12-16,3.89,full_load
18,Trujillo Ltd Trading,Business,Parañaque,Metro Manila,Philippines,2024-09-14,4.43,full_load
19,"Harris, Castillo and Armstrong Trading",Business,Baguio,Benguet,Philippines,2024-06-01,3.94,full_load
20,Garcia Store,Individual,Pasig,Metro Manila,Philippines,2025-12-16,3.74,full_load
21,Gomez Store,Individual,Manila,Metro Manila,Philippines,2025-09-25,4.89,full_load
22,Robertson LLC Trading,Business,Baguio,Benguet,Philippines,2023-08-08,4.21,full_load
23,Martinez Group Official,Brand,Las Piñas,Metro Manila,Philippines,2021-01-03,4.33,full_load
24,Orr Store,Individual,Quezon City,Metro Manila,Philippines,2025-04-11,3.73,full_load
25,"Lawson, Evans and Greene Trading",Business,Marikina,Metro Manila,Philippines,2025-06-18,4.08,full_load
26,"Smith, Contreras and Lara Official",Brand,Iloilo City,Iloilo,Philippines,2025-06-07,4.34,full_load
27,"Burgess, Perkins and Giles Trading",Business,Cebu City,Cebu,Philippines,2023-05-26,3.84,full_load
28,"Nelson, Williams and Gonzalez Trading",Business,Muntinlupa,Metro Manila,Philippines,2022-01-04,4.45,full_load
29,Martinez-Hanson Trading,Business,Cagayan de Oro,Misamis Oriental,Philippines,2022-11-08,4.06,full_load
30,Randall Store,Individual,Pasig,Metro Manila,Philippines,2022-03-14,4.18,full_load
31,Alvarez Inc Official,Brand,Parañaque,Metro Manila,Philippines,2022-07-11,4.06,full_load
32,Mendez Store,Individual,Manila,Metro Manila,Philippines,2023-08-08,5.0,full_load
33,Adams Store,Individual,Parañaque,Metro Manila,Philippines,2022-05-22,4.29,full_load
34,West-Goodman Trading,Business,Cagayan de Oro,Misamis Oriental,Philippines,2021-12-17,3.88,full_load
35,"Smith, Baker and Vaughan Official",Brand,Pasig,Metro Manila,Philippines,2025-11-01,4.63,full_load
36,Johnson Store,Individual,Las Piñas,Metro Manila,Philippines,2024-10-19,3.81,full_load
37,"Young, Baker and Jackson Trading",Business,Makati,Metro Manila,Philippines,2023-05-13,4.38,full_load
38,Mills Store,Individual,Cagayan de Oro,Misamis Oriental,Philippines,2022-05-15,3.52,full_load
39,Reynolds Store,Individual,Baguio,Benguet,Philippines,2025-09-04,3.77,full_load
40,Burgess Store,Individual,Quezon City,Metro Manila,Philippines,2024-09-04,4.38,full_load
41,Hill Store,Individual,Davao City,Davao del Sur,Philippines,2022-06-07,4.6,full_load
42,Jones Store,Individual,Parañaque,Metro Manila,Philippines,2023-12-17,4.37,full_load
43,Hernandez and Sons Trading,Business,Marikina,Metro Manila,Philippines,2025-08-03,4.25,full_load
