order_item_id,order_id,product_id,seller_id,quantity,unit_price,discount_amount,line_total,batch_date
150040,50001,6949,198,2,339.8,0.0,679.6,2026-07-12
150041,50001,8716,98,2,2901.73,1041.52,4761.94,2026-07-12
150042,50001,6215,118,3,3141.0,0.0,9423.0,2026-07-12
150043,50001,3763,39,1,3991.35,0.0,3991.35,2026-07-12
150044,50001,4056,98,2,1665.79,0.0,3331.58,2026-07-12
150045,50002,3944,123,1,4391.17,437.51,3953.66,2026-07-12
150046,50003,551,188,3,952.46,276.16,2581.22,2026-07-12
150047,50003,7315,11,2,4726.46,933.74,8519.18,2026-07-12
150048,50003,9795,153,1,1166.13,0.0,1166.13,2026-07-12
150049,50003,798,135,1,282.63,45.06,237.57,2026-07-12
150050,50003,4010,159,2,2310.35,672.93,3947.77,2026-07-12
150051,50004,5225,183,2,1416.71,0.0,2833.42,2026-07-12
150052,50004,9462,30,3,582.42,0.0,1747.26,2026-07-12
150053,50004,9797,159,2,6207.58,0.0,12415.16,2026-07-12
150054,50004,5254,56,1,597.16,0.0,597.16,2026-07-12
150055,50004,3882,21,3,309.39,0.0,928.17,2026-07-12
150056,50005,7000,145,2,258.23,35.09,481.37,2026-07-12
150057,50005,9108,147,2,1489.7,0.0,2979.4,2026-07-12
150058,50006,8593,37,1,13233.44,2171.84,11061.6,2026-07-12
150059,50006,5223,102,1,1152.83,0.0,1152.83,2026-07-12
150060,50006,6822,122,2,2469.55,662.79,4276.31,2026-07-12
150061,50006,6689,70,1,10513.28,0.0,10513.28,2026-07-12
150062,50007,7587,117,3,740.15,0.0,2220.45,2026-07-12
150063,50007,945,149,2,218.15,0.0,436.3,2026-07-12
150064,50008,6364,194,2,1192.32,306.21,2078.43,2026-07-12
150065,50008,3979,95,3,3937.95,1348.33,10465.52,2026-07-12
150066,50009,6080,79,1,49465.03,3273.78,46191.25,2026-07-12
150067,50009,1515,67,3,20222.81,0.0,60668.43,2026-07-12
150068,50009,8776,96,1,2950.74,0.0,2950.74,2026-07-12
150069,50009,3121,18,1,29034.81,0.0,29034.81,2026-07-12
150070,50010,9157,198,2,660.98,0.0,1321.96,2026-07-12
150071,50010,3556,140,1,2953.76,429.66,2524.1,2026-07-12
150072,50010,7855,62,1,4228.2,0.0,4228.2,2026-07-12
150073,50010,3423,189,1,46809.26,0.0,46809.26,2026-07-12
150074,50010,5456,132,2,1620.5,0.0,3241.0,2026-07-12
150075,50011,3351,182,2,44950.14,0.0,89900.28,2026-07-12
150076,50011,6499,130,3,6901.9,0.0,20705.7,2026-07-12
150077,50011,3922,115,2,2440.4,616.37,4264.43,2026-07-12
150078,50011,9046,52,3,204.24,0.0,612.72,2026-07-12
150079,50011,5270,180,2,3888.93,1447.73,6330.13,2026-07-12
150080,50012,5247,50,2,7802.49,1740.85,13864.13,2026-07-12
150081,50012,3329,193,1,368.95,0.0,368.95,2026-07-12
150082,50012,6074,157,1,15991.71,2611.97,13379.74,2026-07-12
150083,50012,5127,174,3,1155.17,0.0,3465.51,2026-07-12
150084,50013,4837,72,1,1484.98,0.0,1484.98,2026-07-12
150085,50013,2498,62,1,2138.63,0.0,2138.63,2026-07-12
150086,50013,3215,76,3,4335.14,0.0,13005.42,2026-07-12
150087,50013,5405,54,2,1070.42,131.76,2009.08,2026-07-12
150088,50014,8038,141,1,8271.53,613.61,7657.92,2026-07-12
150089,50014,7551,30,3,7405.79,0.0,22217.37,2026-07-12
150090,50014,2757,37,3,3358.06,0.0,10074.18,2026-07-12
150091,50014,5771,162,1,1937.41,0.0,1937.41,2026-07-12
150092,50015,795,199,1,152.51,0.0,152.51,2026-07-12
150093,50016,1114,60,1,9420.95,1366.14,8054.81,2026-07-12
150094,50016,2475,49,2,11488.68,0.0,22977.36,2026-07-12
150095,50017,7917,53,3,126.89,0.0,380.67,2026-07-12
150096,50017,7994,109,1,6452.24,0.0,6452.24,2026-07-12
150097,50017,258,144,2,5010.22,0.0,10020.44,2026-07-12
150098,50017,109,72,2,2282.24,778.48,3786.0,2026-07-12
150099,50017,8720,131,3,121.83,0.0,365.49,2026-07-12
150100,50018,1754,109,3,15166.5,8366.62,37132.88,2026-07-12
150101,50018,1579,178,1,8621.35,0.0,8621.35,2026-07-12
150102,50019,5808,108,1,11053.44,0.0,11053.44,2026-07-12
150103,50019,4380,159,2,7274.92,0.0,14549.84,2026-07-12
150104,50019,6503,195,1,1258.08,0.0,1258.08,2026-07-12
150105,50020,4915,170,3,738.78,0.0,2216.34,2026-07-12
150106,50020,1321,161,3,369.5,0.0,1108.5,2026-07-12
150107,50021,6641,48,2,448.97,0.0,897.94,2026-07-12
150108,50022,920,198,2,6430.16,0.0,12860.32,2026-07-12
150109,50022,155,80,3,75.25,0.0,225.75,2026-07-12
150110,50022,2808,29,3,1290.17,0.0,3870.51,2026-07-12
150111,50022,1355,92,1,14833.22,0.0,14833.22,2026-07-12
150112,50023,3765,134,1,2739.31,0.0,2739.31,2026-07-12
150113,50024,7791,8,3,32450.8,0.0,97352.4,2026-07-12
150114,50024,4442,145,1,1732.05,197.57,1534.48,2026-07-12
150115,50024,763,75,2,2096.26,724.06,3468.46,2026-07-12
150116,50024,1219,161,1,867.5,0.0,867.5,2026-07-12
150117,50024,4594,114,3,3080.2,0.0,9240.6,2026-07-12
150118,50025,4904,128,1,6462.24,0.0,6462.24,2026-07-12
150119,50026,6376,186,3,317.94,0.0,953.82,2026-07-12
150120,50026,8857,69,3,2247.88,0.0,6743.64,2026-07-12
150121,50026,5436,75,2,2319.36,587.32,4051.4,2026-07-12
150122,50026,6289,77,2,39140.05,8815.25,69464.85,2026-07-12
150123,50026,2293,10,1,682.44,0.0,682.44,2026-07-12
150124,50027,9759,120,2,1445.53,0.0,2891.06,2026-07-12
150125,50027,6500,179,2,9801.3,0.0,19602.6,2026-07-12
150126,50027,5348,59,2,8104.13,0.0,16208.26,2026-07-12
150127,50027,486,153,3,2361.52,0.0,7084.56,2026-07-12
150128,50027,4479,71,2,3305.03,449.35,6160.71,2026-07-12
150129,50028,4840,120,1,11777.25,0.0,11777.25,2026-07-12
150130,50028,4038,97,3,2618.27,1503.7,6351.11,2026-07-12
150131,50028,1205,59,2,8412.62,0.0,16825.24,2026-07-12
150132,50028,1345,71,1,1902.96,187.4,1715.56,2026-07-12
150133,50028,4391,198,2,39441.15,0.0,78882.3,2026-07-12
150134,50029,1675,170,1,6227.41,0.0,6227.41,2026-07-12
150135,50029,2171,102,3,13823.61,0.0,41470.83,2026-07-12
150136,50029,1431,77,2,39039.68,12137.66,65941.7,2026-07-12
150137,50030,5799,57,3,4657.05,2735.09,11236.06,2026-07-12
150138,50031,5316,4,2,622.6,0.0,1245.2,2026-07-12
150139,50031,6312,125,3,1477.85,0.0,4433.55,2026-07-12
150140,50031,203,167,1,19775.54,0.0,19775.54,2026-07-12
150141,50031,4782,186,1,7198.03,0.0,7198.03,2026-07-12
150142,50031,6780,177,1,1121.95,98.47,1023.48,2026-07-12
150143,50032,4398,191,1,22880.74,2176.68,20704.06,2026-07-12
150144,50032,8080,130,2,2755.82,0.0,5511.64,2026-07-12
150145,50032,2391,180,2,17110.41,0.0,34220.82,2026-07-12
150146,50033,4124,15,3,1640.85,0.0,4922.55,2026-07-12
150147,50033,4041,144,2,1835.43,203.85,3467.01,2026-07-12
150148,50033,8124,76,2,1749.93,495.0,3004.86,2026-07-12
150149,50034,5444,71,2,319.8,0.0,639.6,2026-07-12
150150,50034,6225,149,3,52.32,0.0,156.96,2026-07-12
150151,50034,5400,107,1,528.2,0.0,528.2,2026-07-12
150152,50034,7213,75,3,13231.61,0.0,39694.83,2026-07-12
150153,50035,7849,182,1,160.2,0.0,160.2,2026-07-12
150154,50035,5148,161,2,2677.67,491.6,4863.74,2026-07-12
150155,50036,9436,135,2,273.86,0.0,547.72,2026-07-12
150156,50036,3972,125,2,10601.35,0.0,21202.7,2026-07-12
150157,50036,5340,80,3,319.15,82.28,875.17,2026-07-12
150158,50036,6162,10,3,423.31,91.1,1178.83,2026-07-12
150159,50037,441,1,3,57.33,34.03,137.96,2026-07-12
150160,50037,7564,126,2,441.21,0.0,882.42,2026-07-12
150161,50037,3435,175,1,3306.63,0.0,3306.63,2026-07-12
150162,50037,7184,140,1,1522.81,131.43,1391.38,2026-07-12
150163,50037,4774,50,1,39491.07,0.0,39491.07,2026-07-12
150164,50038,1212,144,3,271.11,0.0,813.33,2026-07-12
150165,50038,7358,91,3,440.23,0.0,1320.69,2026-07-12
