event_id,order_id,event_timestamp,event_type,hub_city,carrier,tracking_number,batch_date
216765,50001,2026-07-12 04:58:16,order_confirmed,Las Piñas,LBC,TRK00050001,2026-07-12
216766,50001,2026-07-12 16:58:16,cancelled,Makati,LBC,TRK00050001,2026-07-12
216767,50002,2026-07-12 13:23:51,order_confirmed,Muntinlupa,J&T Express,TRK00050002,2026-07-12
216768,50002,2026-07-12 20:23:51,packed,Las Piñas,J&T Express,TRK00050002,2026-07-12
216769,50002,2026-07-14 19:23:51,shipped,Cebu City,J&T Express,TRK00050002,2026-07-12
216770,50002,2026-07-18 19:23:51,out_for_delivery,Marikina,J&T Express,TRK00050002,2026-07-12
216771,50002,2026-07-19 06:23:51,delivered,Baguio,J&T Express,TRK00050002,2026-07-12
216772,50003,2026-07-12 11:12:00,order_confirmed,Cebu City,Ninja Van,TRK00050003,2026-07-12
216773,50003,2026-07-12 13:12:00,cancelled,Iloilo City,Ninja Van,TRK00050003,2026-07-12
216774,50004,2026-07-12 22:27:32,order_confirmed,Muntinlupa,DHL eCommerce,TRK00050004,2026-07-12
216775,50004,2026-07-13 05:27:32,packed,Marikina,DHL eCommerce,TRK00050004,2026-07-12
216776,50004,2026-07-14 17:27:32,shipped,Iloilo City,DHL eCommerce,TRK00050004,2026-07-12
216777,50004,2026-07-19 17:27:32,out_for_delivery,Las Piñas,DHL eCommerce,TRK00050004,2026-07-12
216778,50004,2026-07-20 05:27:32,delivered,Taguig,DHL eCommerce,TRK00050004,2026-07-12
216779,50005,2026-07-12 23:30:30,order_confirmed,Marikina,LBC,TRK00050005,2026-07-12
216780,50005,2026-07-13 06:30:30,cancelled,Pasig,LBC,TRK00050005,2026-07-12
216781,50006,2026-07-12 04:08:37,order_confirmed,Makati,LBC,TRK00050006,2026-07-12
216782,50006,2026-07-12 16:08:37,packed,Baguio,LBC,TRK00050006,2026-07-12
216783,50006,2026-07-13 05:08:37,shipped,Pasig,LBC,TRK00050006,2026-07-12
216784,50006,2026-07-15 05:08:37,out_for_delivery,Bacolod,LBC,TRK00050006,2026-07-12
216785,50006,2026-07-15 14:08:37,delivered,Marikina,LBC,TRK00050006,2026-07-12
216786,50007,2026-07-12 06:18:46,order_confirmed,Taguig,Flash Express,TRK00050007,2026-07-12
216787,50007,2026-07-12 23:18:46,packed,Quezon City,Flash Express,TRK00050007,2026-07-12
216788,50007,2026-07-14 09:18:46,shipped,Muntinlupa,Flash Express,TRK00050007,2026-07-12
216789,50007,2026-07-15 09:18:46,out_for_delivery,Bacolod,Flash Express,TRK00050007,2026-07-12
216790,50007,2026-07-15 15:18:46,delivered,Davao City,Flash Express,TRK00050007,2026-07-12
216791,50008,2026-07-12 17:43:17,order_confirmed,Iloilo City,Ninja Van,TRK00050008,2026-07-12
216792,50008,2026-07-13 15:43:17,packed,Pasig,Ninja Van,TRK00050008,2026-07-12
216793,50008,2026-07-15 15:43:17,shipped,Marikina,Ninja Van,TRK00050008,2026-07-12
216794,50008,2026-07-20 15:43:17,out_for_delivery,Makati,Ninja Van,TRK00050008,2026-07-12
216795,50008,2026-07-21 01:43:17,delivered,Taguig,Ninja Van,TRK00050008,2026-07-12
216796,50009,2026-07-12 21:09:51,order_confirmed,Las Piñas,Ninja Van,TRK00050009,2026-07-12
216797,50010,2026-07-12 12:48:24,order_confirmed,Marikina,J&T Express,TRK00050010,2026-07-12
216798,50010,2026-07-13 01:48:24,packed,Parañaque,J&T Express,TRK00050010,2026-07-12
216799,50010,2026-07-14 12:48:24,shipped,Pasig,J&T Express,TRK00050010,2026-07-12
216800,50010,2026-07-16 12:48:24,out_for_delivery,Makati,J&T Express,TRK00050010,2026-07-12
216801,50010,2026-07-16 23:48:24,delivered,Makati,J&T Express,TRK00050010,2026-07-12
216802,50011,2026-07-12 09:20:06,order_confirmed,Pasig,LBC,TRK00050011,2026-07-12
216803,50011,2026-07-12 23:20:06,packed,Makati,LBC,TRK00050011,2026-07-12
216804,50011,2026-07-14 17:20:06,shipped,Baguio,LBC,TRK00050011,2026-07-12
216805,50011,2026-07-16 17:20:06,out_for_delivery,Bacolod,LBC,TRK00050011,2026-07-12
216806,50011,2026-07-17 02:20:06,delivered,Cebu City,LBC,TRK00050011,2026-07-12
216807,50012,2026-07-12 10:36:09,order_confirmed,Makati,Ninja Van,TRK00050012,2026-07-12
216808,50012,2026-07-12 19:36:09,cancelled,Pasig,Ninja Van,TRK00050012,2026-07-12
216809,50013,2026-07-12 08:19:49,order_confirmed,Makati,LBC,TRK00050013,2026-07-12
216810,50013,2026-07-13 03:19:49,packed,Parañaque,LBC,TRK00050013,2026-07-12
216811,50013,2026-07-13 18:19:49,shipped,Baguio,LBC,TRK00050013,2026-07-12
216812,50013,2026-07-17 18:19:49,out_for_delivery,Bacolod,LBC,TRK00050013,2026-07-12
216813,50013,2026-07-18 01:19:49,delivered,Iloilo City,LBC,TRK00050013,2026-07-12
216814,50014,2026-07-12 12:37:50,order_confirmed,Parañaque,DHL eCommerce,TRK00050014,2026-07-12
216815,50014,2026-07-12 20:37:50,packed,Parañaque,DHL eCommerce,TRK00050014,2026-07-12
