order_id,customer_id,order_date,order_status,shipping_address_city,shipping_address_state,shipping_address_country,shipping_method,order_total,discount_amount,tax_amount,shipping_fee,batch_date
50340,2860,2026-07-14 02:30:16,cancelled,Cebu City,Cebu,Philippines,Standard,24943.6,1041.52,2662.5,93.63,2026-07-14
50341,4451,2026-07-14 11:00:51,delivered,Las Piñas,Metro Manila,Philippines,Standard,4482.55,437.51,474.44,54.45,2026-07-14
50342,4544,2026-07-14 10:54:00,cancelled,Manila,Metro Manila,Philippines,Standard,18538.19,1927.89,1974.22,112.1,2026-07-14
50343,877,2026-07-14 20:08:32,delivered,Pasig,Metro Manila,Philippines,Express,20925.1,0.0,2222.54,181.39,2026-07-14
50344,1668,2026-07-14 23:05:30,cancelled,Baguio,Benguet,Philippines,Standard,3975.99,35.09,415.29,99.93,2026-07-14
50345,417,2026-07-14 03:21:37,delivered,Muntinlupa,Metro Manila,Philippines,Standard,30348.47,2834.63,3240.48,103.97,2026-07-14
50346,2733,2026-07-14 04:45:46,delivered,Pasig,Metro Manila,Philippines,Express,3159.75,0.0,318.81,184.19,2026-07-14
50347,4520,2026-07-14 15:34:17,delivered,Manila,Metro Manila,Philippines,Same Day,14233.54,1654.54,1505.27,184.32,2026-07-14
50348,1222,2026-07-14 19:51:51,placed,Cebu City,Cebu,Philippines,Standard,155558.86,3273.78,16661.43,52.2,2026-07-14
50349,343,2026-07-14 11:13:24,delivered,Marikina,Metro Manila,Philippines,Express,65260.33,429.66,6974.94,160.87,2026-07-14
50350,1721,2026-07-14 09:05:06,delivered,Cebu City,Cebu,Philippines,Same Day,136653.23,2064.1,14617.59,222.38,2026-07-14
50351,1267,2026-07-14 08:37:09,cancelled,Las Piñas,Metro Manila,Philippines,Express,34957.47,4352.82,3729.4,149.74,2026-07-14
50352,204,2026-07-14 06:31:49,delivered,Cebu City,Cebu,Philippines,Express,21032.35,131.76,2236.57,157.67,2026-07-14
50353,2033,2026-07-14 09:42:50,delivered,Parañaque,Metro Manila,Philippines,Standard,47028.39,613.61,5026.43,115.08,2026-07-14
50354,318,2026-07-14 17:08:14,delivered,Muntinlupa,Metro Manila,Philippines,Standard,277.38,0.0,18.3,106.57,2026-07-14
50355,1865,2026-07-14 08:06:59,placed,Taguig,Metro Manila,Philippines,Standard,34867.03,1366.14,3723.86,111.0,2026-07-14
50356,569,2026-07-14 10:09:45,delivered,Baguio,Benguet,Philippines,Express,23669.67,778.48,2520.58,144.25,2026-07-14
50357,4393,2026-07-14 12:03:24,cancelled,Manila,Metro Manila,Philippines,Standard,51332.49,8366.62,5490.51,87.75,2026-07-14
50358,2175,2026-07-14 01:23:34,shipped,Davao City,Davao del Sur,Philippines,Express,30309.69,0.0,3223.36,224.97,2026-07-14
50359,2570,2026-07-14 15:53:19,delivered,Baguio,Benguet,Philippines,Standard,3836.55,0.0,398.98,112.73,2026-07-14
50360,4724,2026-07-14 06:55:14,delivered,Parañaque,Metro Manila,Philippines,Standard,1077.95,0.0,107.75,72.26,2026-07-14
50361,4411,2026-07-14 07:10:25,delivered,Manila,Metro Manila,Philippines,Standard,35662.28,0.0,3814.78,57.7,2026-07-14
50362,1021,2026-07-14 10:56:03,delivered,Bacolod,Negros Occidental,Philippines,Standard,3133.99,0.0,328.72,65.96,2026-07-14
50363,2423,2026-07-14 20:11:07,shipped,Davao City,Davao del Sur,Philippines,Express,126190.94,921.63,13495.61,231.89,2026-07-14
50364,1426,2026-07-14 22:24:36,delivered,Davao City,Davao del Sur,Philippines,Express,7358.61,0.0,775.47,120.9,2026-07-14
50365,2490,2026-07-14 10:26:46,delivered,Las Piñas,Metro Manila,Philippines,Standard,91789.24,9402.57,9827.54,65.55,2026-07-14
50366,3623,2026-07-14 07:46:50,delivered,Las Piñas,Metro Manila,Philippines,Express,58344.74,449.35,6233.66,163.89,2026-07-14
50367,2325,2026-07-14 18:46:01,delivered,Cagayan de Oro,Misamis Oriental,Philippines,Standard,129503.96,1691.1,13866.18,86.32,2026-07-14
50368,1925,2026-07-14 11:18:07,delivered,Taguig,Metro Manila,Philippines,Standard,127352.18,12137.66,13636.79,75.45,2026-07-14
50369,2006,2026-07-14 17:17:57,delivered,Las Piñas,Metro Manila,Philippines,Standard,12701.76,2735.09,1348.33,117.37,2026-07-14
50370,4716,2026-07-14 07:04:45,delivered,Davao City,Davao del Sur,Philippines,Standard,37801.71,98.47,4041.1,84.81,2026-07-14
50371,1209,2026-07-14 23:53:10,delivered,Marikina,Metro Manila,Philippines,Express,67845.93,2176.68,7252.38,157.03,2026-07-14
50372,1793,2026-07-14 06:24:13,delivered,Parañaque,Metro Manila,Philippines,Standard,12846.94,698.85,1367.33,85.19,2026-07-14
50373,4567,2026-07-14 09:04:22,cancelled,Manila,Metro Manila,Philippines,Standard,45995.54,0.0,4922.35,53.6,2026-07-14
50374,3807,2026-07-14 19:20:16,returned,Cagayan de Oro,Misamis Oriental,Philippines,Same Day,5961.22,491.6,602.87,334.41,2026-07-14
50375,3626,2026-07-14 22:18:21,delivered,Marikina,Metro Manila,Philippines,Standard,26745.21,173.38,2856.53,84.26,2026-07-14
50376,4489,2026-07-14 16:14:06,cancelled,Parañaque,Metro Manila,Philippines,Standard,50731.65,165.46,5425.14,97.05,2026-07-14
50377,2026,2026-07-14 23:12:59,delivered,Las Piñas,Metro Manila,Philippines,Standard,36075.75,0.0,3854.19,103.31,2026-07-14
50378,1960,2026-07-14 09:59:52,delivered,Parañaque,Metro Manila,Philippines,Standard,72145.28,0.0,7722.71,66.63,2026-07-14
50379,2752,2026-07-14 11:38:24,cancelled,Manila,Metro Manila,Philippines,Standard,2308.7,0.0,236.54,100.98,2026-07-14
50380,3138,2026-07-14 05:33:48,delivered,Manila,Metro Manila,Philippines,Standard,12181.56,1272.19,1295.06,94.35,2026-07-14
50381,4446,2026-07-14 16:57:49,delivered,Taguig,Metro Manila,Philippines,Standard,13476.33,146.59,1437.86,56.32,2026-07-14
50382,4785,2026-07-14 00:42:40,cancelled,Las Piñas,Metro Manila,Philippines,Standard,32773.62,0.0,3499.84,108.47,2026-07-14
50383,2882,2026-07-14 10:52:19,delivered,Muntinlupa,Metro Manila,Philippines,Standard,130026.11,1807.61,13925.71,52.85,2026-07-14
50384,4474,2026-07-14 21:57:49,cancelled,Iloilo City,Iloilo,Philippines,Standard,2991.08,309.9,310.03,97.43,2026-07-14
50385,3979,2026-07-14 01:03:24,delivered,Bacolod,Negros Occidental,Philippines,Express,151780.5,121.66,16242.21,186.57,2026-07-14
50386,3829,2026-07-14 04:38:48,returned,Baguio,Benguet,Philippines,Same Day,11921.06,1172.72,1245.39,297.46,2026-07-14
50387,4849,2026-07-14 20:32:55,delivered,Manila,Metro Manila,Philippines,Standard,120230.09,0.0,12873.54,77.07,2026-07-14
50388,3783,2026-07-14 06:36:59,shipped,Davao City,Davao del Sur,Philippines,Standard,7954.97,1079.04,844.4,73.87,2026-07-14
50389,2678,2026-07-14 12:17:16,delivered,Davao City,Davao del Sur,Philippines,Express,53827.67,224.25,5741.51,240.21,2026-07-14
50390,3454,2026-07-14 09:11:05,delivered,Iloilo City,Iloilo,Philippines,Express,11067.07,431.15,1169.31,153.53,2026-07-14
50391,427,2026-07-14 12:44:30,delivered,Manila,Metro Manila,Philippines,Express,150078.86,0.0,16057.83,205.8,2026-07-14
50392,2026,2026-07-14 07:15:30,delivered,Cagayan de Oro,Misamis Oriental,Philippines,Standard,54993.22,0.0,5880.64,107.21,2026-07-14
50393,3880,2026-07-14 04:09:53,delivered,Taguig,Metro Manila,Philippines,Express,23407.41,3183.82,2491.71,151.44,2026-07-14
50394,3022,2026-07-14 06:06:32,delivered,Parañaque,Metro Manila,Philippines,Express,6579.79,0.0,690.82,132.1,2026-07-14
50395,1342,2026-07-14 11:19:28,shipped,Quezon City,Metro Manila,Philippines,Standard,38788.68,54.16,4143.82,113.03,2026-07-14
50396,3075,2026-07-14 14:26:30,cancelled,Taguig,Metro Manila,Philippines,Standard,1359.56,0.0,135.56,94.32,2026-07-14
50397,1990,2026-07-14 03:42:36,delivered,Pasig,Metro Manila,Philippines,Express,10103.89,0.0,1064.98,164.07,2026-07-14
50398,4637,2026-07-14 01:29:43,delivered,Davao City,Davao del Sur,Philippines,Standard,27683.44,4166.25,2954.07,112.1,2026-07-14
50399,2796,2026-07-14 00:27:38,delivered,Muntinlupa,Metro Manila,Philippines,Standard,158615.41,24944.67,16988.52,55.89,2026-07-14
50400,2968,2026-07-14 23:08:27,cancelled,Iloilo City,Iloilo,Philippines,Standard,47525.83,1975.78,5082.15,92.45,2026-07-14
50401,4275,2026-07-14 23:40:56,delivered,Las Piñas,Metro Manila,Philippines,Express,120858.79,837.91,12927.06,206.26,2026-07-14
50402,3809,2026-07-14 15:51:31,delivered,Cagayan de Oro,Misamis Oriental,Philippines,Standard,6000.48,0.0,637.51,50.35,2026-07-14
50403,2012,2026-07-14 03:09:19,delivered,Iloilo City,Iloilo,Philippines,Express,10215.99,103.81,1074.07,191.34,2026-07-14
50404,4669,2026-07-14 22:13:17,delivered,Cebu City,Cebu,Philippines,Standard,15988.94,1428.94,1706.06,65.7,2026-07-14
50405,2663,2026-07-14 06:37:14,delivered,Cebu City,Cebu,Philippines,Standard,66621.36,5818.43,7130.87,66.61,2026-07-14
50406,4884,2026-07-14 10:03:31,delivered,Baguio,Benguet,Philippines,Standard,45388.29,376.51,4852.08,102.25,2026-07-14
50407,3330,2026-07-14 17:47:18,delivered,Taguig,Metro Manila,Philippines,Standard,12047.16,1693.72,1279.04,109.45,2026-07-14
50408,4021,2026-07-14 16:19:03,delivered,Manila,Metro Manila,Philippines,Standard,8767.01,1020.13,931.21,75.74,2026-07-14
50409,1994,2026-07-14 11:08:55,delivered,Cebu City,Cebu,Philippines,Standard,36293.5,32.26,3881.4,67.08,2026-07-14
50410,2817,2026-07-14 15:29:31,returned,Baguio,Benguet,Philippines,Standard,16656.33,0.0,1771.95,118.11,2026-07-14
50411,3718,2026-07-14 09:51:49,delivered,Taguig,Metro Manila,Philippines,Express,8562.03,839.35,895.71,202.05,2026-07-14
50412,2585,2026-07-14 04:21:10,delivered,Las Piñas,Metro Manila,Philippines,Standard,14308.19,1029.03,1523.34,90.38,2026-07-14
50413,3967,2026-07-14 10:04:01,delivered,Las Piñas,Metro Manila,Philippines,Standard,24248.09,852.41,2591.19,63.67,2026-07-14
