return_id,order_id,order_item_id,return_date,return_reason,refund_amount,refund_status,refund_date,batch_date
1,2,5,2024-01-29 03:28:34,Wrong item,553.9,processed,2024-02-03 03:28:34,full_load
2,12,37,2023-01-19 23:56:39,Damaged item,95966.49,approved,2023-01-23 23:56:39,full_load
3,16,55,2023-03-26 16:28:44,Size issue,1467.28,approved,2023-04-02 16:28:44,full_load
4,20,72,2024-05-01 01:30:46,Late delivery,7984.78,processed,2024-05-02 01:30:46,full_load
5,32,101,2023-03-25 18:48:01,Missing parts,1685.86,rejected,2023-03-31 18:48:01,full_load
6,33,104,2025-05-05 10:32:18,Wrong item,2594.64,approved,2025-05-11 10:32:18,full_load
7,34,106,2024-10-30 09:41:40,Size issue,4258.35,processed,2024-11-03 09:41:40,full_load
8,34,107,2024-10-13 09:41:40,Late delivery,3315.42,approved,2024-10-17 09:41:40,full_load
9,39,122,2023-01-30 23:07:57,Late delivery,682.82,processed,2023-02-06 23:07:57,full_load
10,39,119,2023-01-14 23:07:57,Missing parts,2402.36,processed,2023-01-15 23:07:57,full_load
11,48,155,2023-05-02 22:16:44,Changed mind,1074.86,approved,2023-05-09 22:16:44,full_load
12,57,178,2025-11-13 09:01:29,Wrong item,15381.29,approved,2025-11-14 09:01:29,full_load
13,58,180,2025-09-10 18:26:39,Wrong item,25478.01,approved,2025-09-12 18:26:39,full_load
14,61,189,2024-05-22 01:38:53,Size issue,1644.13,approved,2024-05-27 01:38:53,full_load
15,61,187,2024-06-05 01:38:53,Size issue,8192.76,approved,2024-06-08 01:38:53,full_load
16,86,262,2023-07-25 16:47:50,Changed mind,738.82,approved,2023-07-30 16:47:50,full_load
17,88,270,2025-02-09 13:19:21,Late delivery,654.37,processed,2025-02-16 13:19:21,full_load
18,88,269,2025-02-10 13:19:21,Changed mind,406.87,approved,2025-02-11 13:19:21,full_load
19,93,284,2024-08-12 13:06:12,Missing parts,13197.45,processed,2024-08-15 13:06:12,full_load
20,98,297,2023-11-23 13:03:16,Missing parts,1269.44,approved,2023-11-28 13:03:16,full_load
21,116,343,2023-01-19 19:10:05,Late delivery,12402.72,processed,2023-01-20 19:10:05,full_load
22,116,342,2023-01-18 19:10:05,Damaged item,234.25,approved,2023-01-19 19:10:05,full_load
23,120,350,2026-01-08 10:34:38,Size issue,10814.4,approved,2026-01-14 10:34:38,full_load
24,120,351,2026-01-14 10:34:38,Wrong item,414.74,processed,2026-01-19 10:34:38,full_load
25,121,356,2023-12-11 22:17:38,Damaged item,1966.2,approved,2023-12-12 22:17:38,full_load
26,121,355,2023-12-08 22:17:38,Missing parts,35384.16,processed,2023-12-14 22:17:38,full_load
27,141,416,2025-09-04 21:46:17,Missing parts,736.39,approved,2025-09-08 21:46:17,full_load
28,151,439,2023-10-11 14:38:56,Wrong item,125770.38,processed,2023-10-16 14:38:56,full_load
29,151,438,2023-10-16 14:38:56,Wrong item,9389.5,processed,2023-10-18 14:38:56,full_load
30,153,448,2023-01-23 06:33:43,Damaged item,781.98,processed,2023-01-28 06:33:43,full_load
31,153,446,2023-01-21 06:33:43,Missing parts,3339.3,approved,2023-01-23 06:33:43,full_load
32,161,469,2025-10-07 22:26:00,Size issue,685.12,processed,2025-10-13 22:26:00,full_load
33,161,470,2025-10-20 22:26:00,Wrong item,29255.72,approved,2025-10-23 22:26:00,full_load
34,169,492,2025-07-13 18:02:56,Size issue,895.83,processed,2025-07-15 18:02:56,full_load
35,175,512,2024-08-17 13:19:38,Changed mind,3930.76,rejected,2024-08-24 13:19:38,full_load
36,183,536,2025-01-22 07:19:06,Wrong item,1429.07,processed,2025-01-26 07:19:06,full_load
37,183,537,2025-01-11 07:19:06,Changed mind,1328.04,processed,2025-01-14 07:19:06,full_load
38,204,595,2024-11-18 14:54:46,Size issue,14003.5,approved,2024-11-21 14:54:46,full_load
39,209,605,2023-08-11 01:18:21,Missing parts,2276.83,processed,2023-08-15 01:18:21,full_load
40,209,604,2023-08-08 01:18:21,Damaged item,57087.35,processed,2023-08-14 01:18:21,full_load
41,216,634,2024-06-18 00:54:44,Late delivery,2242.12,approved,2024-06-19 00:54:44,full_load
42,223,661,2025-02-10 01:49:30,Late delivery,6348.24,processed,2025-02-11 01:49:30,full_load
43,223,658,2025-02-13 01:49:30,Missing parts,933.87,approved,2025-02-14 01:49:30,full_load
44,229,680,2024-10-27 15:54:19,Damaged item,922.21,approved,2024-11-03 15:54:19,full_load
45,237,706,2023-05-26 00:30:34,Size issue,5158.89,approved,2023-05-27 00:30:34,full_load
46,237,707,2023-05-26 00:30:34,Size issue,1474.98,approved,2023-06-01 00:30:34,full_load
47,238,710,2025-08-14 04:29:20,Size issue,15081.98,approved,2025-08-21 04:29:20,full_load
48,246,733,2023-09-07 22:24:04,Missing parts,309.19,approved,2023-09-10 22:24:04,full_load
49,246,734,2023-08-26 22:24:04,Damaged item,2299.23,approved,2023-08-29 22:24:04,full_load
50,253,758,2024-01-30 08:45:11,Changed mind,12126.68,processed,2024-02-03 08:45:11,full_load
51,253,759,2024-02-06 08:45:11,Missing parts,41318.04,rejected,2024-02-12 08:45:11,full_load
52,286,859,2024-07-29 18:49:37,Damaged item,4251.05,approved,2024-08-03 18:49:37,full_load
53,286,857,2024-08-01 18:49:37,Late delivery,104490.78,approved,2024-08-07 18:49:37,full_load
54,314,947,2024-12-01 15:06:43,Late delivery,9010.29,approved,2024-12-06 15:06:43,full_load
55,314,946,2024-11-17 15:06:43,Wrong item,2998.23,processed,2024-11-18 15:06:43,full_load
56,324,981,2024-02-16 13:22:02,Missing parts,20198.86,approved,2024-02-21 13:22:02,full_load
57,333,1010,2025-03-14 03:41:51,Missing parts,5997.03,processed,2025-03-16 03:41:51,full_load
58,341,1041,2024-03-14 02:54:53,Changed mind,6348.24,processed,2024-03-17 02:54:53,full_load
59,363,1108,2025-06-27 06:42:29,Changed mind,1193.16,processed,2025-07-02 06:42:29,full_load
